Name,Image URL,Reviews,Type,Address,Phone Number,Opening Hours,Restaurant Page Link,Delivery Link
מונקה,https://images.rest.co.il/tagimages/1/1288/70025044/70025020/e2895c228199437a84ffd3370f9a4da7.jpg,18 חוות דעת,מסעדה בולגרית | מחיר ₪₪₪₪,"יהודה הימית 15, יפו, תל אביב | אנחנו פתוחים!",053-4294200,אנחנו פתוחים!,https://www.rest.co.il/rest/71626700/,No delivery link
wide open- אירועים ואוירה,https://images.rest.co.il/Customers/80020199/f1fc802edfe246368094364fe44c46df_56.jpg,2 חוות דעת,מסעדת קונספט | כשר | מחיר ₪₪₪₪,רמת ישי | אנחנו פתוחים!,053-6130772,אנחנו פתוחים!,https://www.rest.co.il/rest/80020199/,No delivery link
חאלד עדוי,https://images.rest.co.il/Customers/80304144/6165072c9e834ea3856f2f3e00d3abdb_56.jpg,7 חוות דעת,מסעדה מזרחית | מחיר ₪₪₪₪,"רב אלוף דורי יעקב 20, חיפה | אנחנו פתוחים!",053-9441028,אנחנו פתוחים!,https://www.rest.co.il/rest/80304144/,No delivery link
לנדוור עפולה,https://images.rest.co.il/Customers/80163688/e5f9cfce390846678dab8649c0cd7d12_56.jpg,4 חוות דעת,בתי קפה,"שד' יצחק רבין 18, מתחם ג'י בעמק, עפולה | אנחנו פתוחים!",053-9380603,אנחנו פתוחים!,https://www.rest.co.il/rest/80163688/,https://www.mishlohim.co.il/menu/12351/
אצל הבוכרי,https://images.rest.co.il/Customers/80071488/d8da9a2feac744c6b534eb88203258c3_56.jpeg,1 חוות דעת,מסעדה בוכרית,"דרך הדרום 9, קריית גת",053-9381815,No opening hours,https://www.rest.co.il/rest/80071488/,https://www.mishlohim.co.il/menu/12984/
חנדלה,https://images.rest.co.il/Customers/80135904/9b707adeb2514c34b4b26224e444ed4c_56.jpg,185 חוות דעת,בתי קפה | מחיר ₪₪₪₪,"גבעת ח""ן | אנחנו פתוחים!",053-9442876,אנחנו פתוחים!,https://www.rest.co.il/rest/80135904/,No delivery link
לה אופרה - L'OPERA,https://images.rest.co.il/Customers/80374682/3a5bc969618840a6bb373b4528dcb59f_56.png,,"קונדיטוריה ומאפיות, שף | כשר","מפי 5, נתניה | אנחנו פתוחים!",053-2473194,אנחנו פתוחים!,https://www.rest.co.il/rest/80374682/,No delivery link
ג'ירף חיפה,https://images.rest.co.il/Customers/80048717/f77af90d6e2246d08cabd2692d23ec46_56.jpg,88 חוות דעת,מסעדה אסייאתית | מחיר ₪₪₪₪,"שד' הנשיא 131, מרכז הכרמל, חיפה | אנחנו פתוחים!",,אנחנו פתוחים!,https://www.rest.co.il/rest/80048717/,https://www.mishlohim.co.il/menu/4890/
חוף ממן - Maman Beach,https://images.rest.co.il/Customers/5169890/d5968f6ee6e7457a9451fdacf3549965_56.jpg,1 חוות דעת,מסעדת בשרים,"דרך פעמי השלום 14, אילת | אנחנו פתוחים!",053-9441775,אנחנו פתוחים!,https://www.rest.co.il/rest/5169890/,No delivery link
שה ויוי - CHEZ VIVIE,https://images.rest.co.il/Customers/80371490/5da3ddb70a45446280c1b46b2b8ef922_56.png,,שף,"דיזנגוף 166, תל אביב | תיפתח היום בשעה 17:00",053-3767311,תיפתח היום בשעה 17:00,https://www.rest.co.il/rest/80371490/,No delivery link
קפה קפה ערד - Cafe Cafe Arad,https://images.rest.co.il/Customers/80358092/01dabb760b1e4f9aa81833038e6a28b1_56.jpg,3 חוות דעת,בתי קפה | כשר,"התעשיה 1, ערד | אנחנו פתוחים!",053-4610036,אנחנו פתוחים!,https://www.rest.co.il/rest/80358092/,https://www.mishlohim.co.il/menu/13761/
קאן-קאי סושי ומטבח אסייאתי,https://images.rest.co.il/Customers/80271631/39942d2b484f48e89ff5654126a84155_56.jpg,1001 חוות דעת,מסעדה אסייאתית | כשר | מחיר ₪₪₪₪,"משה דיין 2, ראש העין | אנחנו פתוחים!",053-9440367,אנחנו פתוחים!,https://www.rest.co.il/rest/80271631/,https://www.mishlohim.co.il/menu/4844/
מסעדת אבו עומר,https://images.rest.co.il/Customers/80071120/ab4a126aa40d4756a2e96c1b04d2e2dd_56.jpg,2 חוות דעת,מסעדת בשרים,"סחלב 1, רמת ישי | אנחנו פתוחים!",053-3669221,אנחנו פתוחים!,https://www.rest.co.il/rest/80071120/,https://www.mishlohim.co.il/menu/11890/
ג'ינוז - JENO'S,https://images.rest.co.il/Customers/80331777/0d35232d98a54e87aea0493a2e518334_56.jpg,,"הנמל 27, חיפה | אנחנו פתוחים!",No address available,053-9625668,אנחנו פתוחים!,https://www.rest.co.il/rest/80331777/,No delivery link
בנדיקט,https://images.rest.co.il/Customers/80094263/1ce90361bbbb487a904a19028b1d8915_56.jpg,65 חוות דעת,בתי קפה,"אצ""ל 1, הרצליה פיתוח | אנחנו פתוחים!",053-9443472,אנחנו פתוחים!,https://www.rest.co.il/rest/80094263/,No delivery link
מפגש ז'בוטינסקי,https://images.rest.co.il/Customers/80364722/971d5a03840644f69eebdb118424dc92_56.jpg,,מסעדת בשרים,"ז'בוטינסקי 158, בני ברק | אנחנו פתוחים!",053-5550180,אנחנו פתוחים!,https://www.rest.co.il/rest/80364722/,https://www.mishlohim.co.il/menu/5799/
ג'ויה ראש פינה,https://images.rest.co.il/Customers/80370518/ab9c0f1adb92487bb68df31924c8b9f2_56.gif,,מסעדה איטלקית,"התפוח 1, ראש פינה | אנחנו פתוחים!",053-6318174,אנחנו פתוחים!,https://www.rest.co.il/rest/80370518/,No delivery link
מסרקיוי מסעדה אתיופית,https://images.rest.co.il/Customers/80320439/7acadc9711d04cd486c8aa22d188eb7c_56.jpg,5 חוות דעת,מסעדה אתיופית,"ריב""ל 4, תל אביב",053-9387938,No opening hours,https://www.rest.co.il/rest/80320439/,No delivery link
סין צ'אן,https://images.rest.co.il/Customers/80303048/0106ab0901fc4233a4d8979767a6985b_56.gif,3 חוות דעת,מסעדה סינית | כשר,"המברג 1, טבריה | אנחנו פתוחים!",053-9387946,אנחנו פתוחים!,https://www.rest.co.il/rest/80303048/,No delivery link
אוריינטופ,https://images.rest.co.il/Customers/80351277/ebedbdb29b2541ad87df37fef44e1f40_56.jpg,,מסעדת קונספט | כשר,"עמק רפאים 3, ירושלים | תיפתח היום בשעה 19:30",053-3357007,תיפתח היום בשעה 19:30,https://www.rest.co.il/rest/80351277/,No delivery link
המסעדה הבאה,https://images.rest.co.il/Customers/80345696/7b202adaae674c90b8c9491438fb8f23_56.jpg,,"יחזקאל קויפמן 6, תל אביב | אנחנו פתוחים!",No address available,,אנחנו פתוחים!,https://www.rest.co.il/rest/80345696/,No delivery link
קומראן,https://images.rest.co.il/Customers/80365808/2264184b26d149bd80da48f5e7041979_56.jpg,,"מסעדת קונספט, שף | כשר","הארבעה 21, תל אביב | אנחנו פתוחים!",053-4261397,אנחנו פתוחים!,https://www.rest.co.il/rest/80365808/,No delivery link
גוסטינו טעמים איטלקיים,https://images.rest.co.il/Customers/80272036/67234361c4c74fa8be4c4b69e2017d7f_56.jpg,135 חוות דעת,מסעדה איטלקית,"צפצפה, רמת ישי | אנחנו פתוחים!",053-9378097,אנחנו פתוחים!,https://www.rest.co.il/rest/80272036/,https://www.mishlohim.co.il/menu/10008/
מאג'די כפר סבא,https://images.rest.co.il/Customers/19674540/b46adec1b1684265a94af09c2830d8a4_56.jpg,13 חוות דעת,מסעדת בשרים | מחיר ₪₪₪₪,"ויצמן 130, כפר סבא | אנחנו פתוחים!",053-9442330,אנחנו פתוחים!,https://www.rest.co.il/rest/19674540/,https://www.mishlohim.co.il/menu/10531/
טאטי,https://images.rest.co.il/Customers/80349512/298982a6b7cf423ba26de4cd89780d57_56.jpg,2 חוות דעת,ביסטרו,"אברהם גירון 3, יהוד | אנחנו פתוחים!",053-9366104,אנחנו פתוחים!,https://www.rest.co.il/rest/80349512/,No delivery link
לחם בשר - Lehem basar,https://images.rest.co.il/Customers/80195683/39305fbaa4fb40c4a5622950d4073466_56.jpg,39 חוות דעת,מסעדת בשרים | כשר | מחיר ₪₪₪₪,"דוד רמז 4, המושבה הגרמנית, ירושלים | אנחנו פתוחים!",053-9369023,אנחנו פתוחים!,https://www.rest.co.il/rest/80195683/,No delivery link
פינת סין- מסעדה סינית מודרנית,https://images.rest.co.il/Customers/80349265/e0a156c9dd274e6496d0c7ce6df6a6ad_56.jpg,,"יחזקאל קויפמן 6, תל אביב | אנחנו פתוחים!",No address available,,אנחנו פתוחים!,https://www.rest.co.il/rest/80349265/,No delivery link
קזן בראסרי - Kazan brasserie,https://images.rest.co.il/Customers/80218756/68a35ab375b440148400d92662a1112f_56.jpg,11 חוות דעת,"מסעדת בשרים, שף | כשר","אחוזה 71, רעננה | אנחנו פתוחים!",053-9374681,אנחנו פתוחים!,https://www.rest.co.il/rest/80218756/,No delivery link
מגדלנה,https://images.rest.co.il/Customers/80170372/e6b0dc46619a4479b55bedca7c926c81_56.jpg,56 חוות דעת,"מסעדה ים תיכונית, שף | מחיר ₪₪₪₪",מגדל | אנחנו פתוחים!,053-9367771,אנחנו פתוחים!,https://www.rest.co.il/rest/80170372/,No delivery link
אייר קפה - Air Caffe - כשר למהדרין,https://images.rest.co.il/Customers/80026916/de475756e23b43f288168534c1c34090_56.jpg,46 חוות דעת,מסעדה איטלקית | כשר | מחיר ₪₪₪₪,איירפורט סיטי | אנחנו פתוחים!,053-9441477,אנחנו פתוחים!,https://www.rest.co.il/rest/80026916/,No delivery link
קפה ללוש - Cafe La Lush,https://images.rest.co.il/Customers/80330120/142bdc7c69f24c6299ded071a7d2ba0a_56.png,14 חוות דעת,בתי קפה,"משה לרר 1, נס ציונה | אנחנו פתוחים!",053-9416727,אנחנו פתוחים!,https://www.rest.co.il/rest/80330120/,No delivery link
מסעדת SUSON'S WINGS- דיינר אמריקאי קיבוצי,https://images.rest.co.il/Customers/80349323/dea826e348e34fd6b075ed2930aff8d4_56.jpg,,"יחזקאל קויפמן 6, תל אביב | אנחנו פתוחים!",No address available,,אנחנו פתוחים!,https://www.rest.co.il/rest/80349323/,No delivery link
הדסון - hudson,https://images.rest.co.il/Customers/80022346/9e0a6fb7abfb4e27ac8bd71fe9a8ff2e_56.jpg,234 חוות דעת,"מסעדת בשרים, שף | מחיר ₪₪₪₪","הברזל 27, רמת החייל, תל אביב | אנחנו פתוחים!",053-4294171,אנחנו פתוחים!,https://www.rest.co.il/rest/80022346/,No delivery link
"לחם בשר ראשל""צ - Leham basar",https://images.rest.co.il/Customers/80314951/d81cc4b1f3144838b80974038c17a412_56.jpg,No reviews,מסעדת בשרים | כשר,"משה בקר 13, ראשון לציון | אנחנו פתוחים!",053-9347693,אנחנו פתוחים!,https://www.rest.co.il/rest/80314951/,No delivery link
מסעדת באבא יאגה - Baba Yaga,https://images.rest.co.il/Customers/66277720/71841c834805434ca8d1cd6bb47b20cc_56.jpg,146 חוות דעת,"מסעדה ים תיכונית, שף | מחיר ₪₪₪₪","הירקון 12, תל אביב | אנחנו פתוחים!",053-9444039,אנחנו פתוחים!,https://www.rest.co.il/rest/66277720/,https://www.mishlohim.co.il/menu/10522/
קפה גרג,https://images.rest.co.il/Customers/80365958/31cd6a3cbfc94265baa2ebc016714015_56.jpg,,בתי קפה,"הקישון 9, יבנה | אנחנו פתוחים!",053-9417867,אנחנו פתוחים!,https://www.rest.co.il/rest/80365958/,No delivery link
טעם העמק,https://images.rest.co.il/Customers/80256632/52757a810de4489985f0fdb6d5935777_56.jpg,6 חוות דעת,מסעדת בשרים | כשר,"בעלי המלאכה 5, צים סנטר נתיבות | אנחנו פתוחים!",053-6389915,אנחנו פתוחים!,https://www.rest.co.il/rest/80256632/,No delivery link
מרגו - MARGO,https://images.rest.co.il/Customers/80359208/8e1bee1f65e3473b87fc635c2ef39b85_56.jpg,4 חוות דעת,כשר,"המלך ג'ורג' 21, ירושלים | תיפתח היום בשעה 18:00",053-6112932,תיפתח היום בשעה 18:00,https://www.rest.co.il/rest/80359208/,No delivery link
קפה לקר Cafe Lekker,https://images.rest.co.il/Customers/80279704/c1660d0d58c3473991ea8431bd923b36_56.jpg,2 חוות דעת,בתי קפה | מחיר ₪₪₪₪,כברי | אנחנו פתוחים!,053-8090517,אנחנו פתוחים!,https://www.rest.co.il/rest/80279704/,No delivery link
ביסטרו 56 - BISTRO56,https://images.rest.co.il/Customers/80012515/58a47263165840e49e7c7e19a0df4516_56.jpg,223 חוות דעת,מסעדת בשרים | כשר | מחיר ₪₪₪₪,"השונית 2, מרינה הרצליה | אנחנו פתוחים!",053-9442795,אנחנו פתוחים!,https://www.rest.co.il/rest/80012515/,No delivery link
טורקיש גריל,https://images.rest.co.il/Customers/80353814/77376506a2b14b1b8357e5d1c86ca316_56.jpg,5 חוות דעת,מסעדה תורכית | כשר,"העבודה 2, אור יהודה | אנחנו פתוחים!",053-6354094,אנחנו פתוחים!,https://www.rest.co.il/rest/80353814/,https://www.mishlohim.co.il/menu/13349/
הבית של סלווה,https://images.rest.co.il/Customers/80156472/066bd6842c014a07b14e30ba98a41cf0_56.jpg,19 חוות דעת,מסעדה ערבית | מחיר ₪₪₪₪,עין נקובא | תיפתח מחר ב-09:00,053-7103307,תיפתח מחר ב-09:00,https://www.rest.co.il/rest/80156472/,No delivery link
סלואו אנד ברו - Slow and bro,https://images.rest.co.il/Customers/80369180/8d6f0b61035b49b6a2ebf6e7fc87831b_56.jpg,,מסעדת בשרים | כשר,"התעשיה 5, אזור תעשייה רעננה | אנחנו פתוחים!",053-4596471,אנחנו פתוחים!,https://www.rest.co.il/rest/80369180/,https://www.mishlohim.co.il/menu/13914/
מסעדת Lee Lee- איטלקית אזורית,https://images.rest.co.il/Customers/80349314/e9780678571146a8a07e54469a2ef666_56.jpg,,"יחזקאל קויפמן 6, תל אביב | אנחנו פתוחים!",No address available,,אנחנו פתוחים!,https://www.rest.co.il/rest/80349314/,No delivery link
הפורטוגזי,https://images.rest.co.il/Customers/80324703/3e0995afbcee4744912d9a2f6b661b40_56.JPG,463 חוות דעת,מסעדת בשרים | כשר,ביתן אהרן | אנחנו פתוחים!,053-9425898,אנחנו פתוחים!,https://www.rest.co.il/rest/80324703/,https://www.mishlohim.co.il/menu/10619/
ארהלה,https://images.rest.co.il/tagimages/1/1288/70025082/70025020/d119d66529bc4a7fa179749ceb09e065.jpg,,קייטרינג | כשר | מחיר ₪₪₪₪,"ארלוזורוב 60, צפת | אנחנו פתוחים!",053-6114373,אנחנו פתוחים!,https://www.rest.co.il/rest/80377474/,No delivery link
אללתה מטבח אתיופי אותנטי,https://images.rest.co.il/Customers/80377816/3c4372e4d7e5449d899cf309ef287a31_56.png,,מסעדה אתיופית | כשר,"הרצל 33, אשקלון | אנחנו פתוחים!",053-4270385,אנחנו פתוחים!,https://www.rest.co.il/rest/80377816/,No delivery link
קפה ארטורה - Cafe ARThura,https://images.rest.co.il/Customers/80377125/8b0fdeabc3cd4139800eb97654ec652d_56.png,,בתי קפה,מועצה אזורית עמק חפר | אנחנו פתוחים!,053-3885632,אנחנו פתוחים!,https://www.rest.co.il/rest/80377125/,No delivery link
פבלה,https://images.rest.co.il/Customers/80148783/93cd41f9fb6a489db6bc0993cd2e8ed0_56.jpg,6 חוות דעת,מסעדה ים תיכונית,"מרטין בובר 1, אשדוד | תיפתח היום בשעה 17:00",053-9379614,תיפתח היום בשעה 17:00,https://www.rest.co.il/rest/80148783/,No delivery link
לה ואקה לוקה הרצליה - La Vaca Loca,https://images.rest.co.il/Customers/33774130/5bb557c9473449779392e8081c3ddcb1_56.jpg,20 חוות דעת,מסעדת בשרים | מחיר ₪₪₪₪,"מדינת היהודים 60, הרצליה פיתוח | אנחנו פתוחים!",053-4272383,אנחנו פתוחים!,https://www.rest.co.il/rest/33774130/,No delivery link
הגלריה לאירועים בנמל - GALLERY,https://images.rest.co.il/Customers/80345824/c16fa1835f8e4ec5a3e52b8fd71d7d32_56.jpg,3 חוות דעת,כשר,"יורדי הסירה 1, נמל תל-אביב",055-4335648,No opening hours,https://www.rest.co.il/rest/80345824/,No delivery link
קפה פיורי - CAFE FIORI,https://images.rest.co.il/Customers/80376484/6c012a2728fa493d87a876bddb4aa402_56.jpg,,בתי קפה,"יום טוב 20, תל אביב | אנחנו פתוחים!",053-6389785,אנחנו פתוחים!,https://www.rest.co.il/rest/80376484/,No delivery link
ליה מבית אבולאפיה,https://images.rest.co.il/Customers/80377715/14d40ecf646a4dcba654f5b6e4d7aa69_56.png,,מסעדת בשרים,"השונית 2, מרינה הרצליה | אנחנו פתוחים!",053-9379868,אנחנו פתוחים!,https://www.rest.co.il/rest/80377715/,No delivery link
לה פיאצה נאפולי - La Piazza Napoli,https://images.rest.co.il/Customers/80353405/ecb01969b8944734a6d77a3560e74eef_56.jpg,3 חוות דעת,"פיצריות, שף","האגס 24, אילת | תיפתח היום בשעה 17:00",053-6211632,תיפתח היום בשעה 17:00,https://www.rest.co.il/rest/80353405/,https://www.mishlohim.co.il/menu/13000/
Tagalos,https://images.rest.co.il/Customers/80252223/ba516463783c4913a689c15e927053bb_56.jpg,55 חוות דעת,ביסטרו,"החרושת 15, כרמיאל | אנחנו פתוחים!",053-9367641,אנחנו פתוחים!,https://www.rest.co.il/rest/80252223/,No delivery link
מסעדת קיאנו - בר מסעדה,https://images.rest.co.il/Customers/80213688/0d48757077c449d4adea54d19e7ef74a_56.jpg,5 חוות דעת,פאבים וברים,"שד' קק""ל, כפר תבור | אנחנו פתוחים!",053-7105980,אנחנו פתוחים!,https://www.rest.co.il/rest/80213688/,No delivery link
קיוטו - KYOTO,https://images.rest.co.il/Customers/65074460/74cccfba04a343e9a2aeb2561851c120_56.jpg,153 חוות דעת,מסעדה אסייאתית | מחיר ₪₪₪₪,"אריה שנקר 7, הרצליה פיתוח | אנחנו פתוחים!",053-9442792,אנחנו פתוחים!,https://www.rest.co.il/rest/65074460/,https://www.mishlohim.co.il/menu/4148/
לורנס - Lawrence,https://images.rest.co.il/Customers/74483920/1e0787a5e8be43ddbf11d223e5578d6a_56.png,,"מסעדת בשרים, שף | כשר | מחיר ₪₪₪₪",אילת | תיפתח היום בשעה 19:00,053-9375997,תיפתח היום בשעה 19:00,https://www.rest.co.il/rest/74483920/,No delivery link
מסעדת אמא,https://images.rest.co.il/Customers/80329642/036dec8f90214716ba5bddfadee81f7b_56.jpg,4 חוות דעת,מסעדה מזרחית | כשר,קריית ענבים | אנחנו פתוחים!,053-9386394,אנחנו פתוחים!,https://www.rest.co.il/rest/80329642/,No delivery link
ביי דה ווי - BUY THE WAY,https://images.rest.co.il/Customers/67215830/dc1a340459074569ba327aac8f3daea7_56.jpg,25 חוות דעת,בתי קפה,"שד' מנחם בגין, כפר סבא | אנחנו פתוחים!",053-4256675,אנחנו פתוחים!,https://www.rest.co.il/rest/67215830/,No delivery link
אוזריה,https://images.rest.co.il/Customers/80136014/c9a7e722e68b4baeb83c86c4b8142707_56.jpg,No reviews,"מסעדה ים תיכונית, שף","מטלון 44, פלורנטין, תל אביב | אנחנו פתוחים!",053-8094251,אנחנו פתוחים!,https://www.rest.co.il/rest/80136014/,No delivery link
מנואל הכשרה - Manuel,https://images.rest.co.il/Customers/80245618/bca26f41c598474da9ae050d5431ce73_56.jpg,46 חוות דעת,"מסעדה איטלקית, שף | כשר | מחיר ₪₪₪₪","גיסין אבשלום 7, פתח תקווה | אנחנו פתוחים!",053-4245800,אנחנו פתוחים!,https://www.rest.co.il/rest/80245618/,No delivery link
Randevu - Randevu,https://images.rest.co.il/Customers/41490270/1491e68fadd04215842376c2b15e2171_56.jpg,4 חוות דעת,מסעדה רוסית,"הכשרת הישוב 7, ראשון לציון | אנחנו פתוחים!",053-9441934,אנחנו פתוחים!,https://www.rest.co.il/rest/41490270/,No delivery link
אברמיטו - AVRAMITO,https://images.rest.co.il/Customers/80366803/5b267fc95da04201af811d393d114064_56.jpg,7 חוות דעת,מסעדת בשרים | כשר,"שד' יגאל אלון 6, בית שמש | אנחנו פתוחים!",053-9348880,אנחנו פתוחים!,https://www.rest.co.il/rest/80366803/,No delivery link
ניני קאי - nini kai,https://images.rest.co.il/Customers/72196290/79d45e492c124726ad75835bc24e414e_56.jpg,2 חוות דעת,מסעדה אסייאתית,אילת | אנחנו פתוחים!,053-9442741,אנחנו פתוחים!,https://www.rest.co.il/rest/72196290/,No delivery link
בולס - BULLS,https://images.rest.co.il/Customers/80154299/880232d3a2564c81bd28bbc50b51d05a_56.jpg,9 חוות דעת,מסעדת בשרים | מחיר ₪₪₪₪,"אח""י אילת 60, קריית חיים, חיפה | אנחנו פתוחים!",1-700-700722,אנחנו פתוחים!,https://www.rest.co.il/rest/80154299/,No delivery link
